time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,x_speed,y_speed
1626098890,404090,51.63285827636719,-0.2976701066300506,41.1876602001347,62.47477425625567,-0.97536,,False,False,False,,388.62,411.48,1626098736.14,1626098736.14,36.525524,19.034428
1626098890,401a05,51.00828552246094,0.2421446104307432,59.17000617576564,90.99634789650494,0.0,GBALG   ,False,False,False,7712.0,502.92,541.02,1626098889.94,1626098889.94,59.16106,-1.0288880000000178
1626098890,43c2b3,54.01066589355469,-1.945050920758888,131.466362992043,19.42759814951041,0.0,WAD47   ,False,False,False,6371.0,4267.2,4373.88,1626098889.85,1626098889.933,43.72774,123.981004
1626098890,4079b4,52.77324611857786,-1.094159807477638,67.2112767824149,5.710593137499643,-0.65024,GRIDC   ,False,False,False,36.0,365.76,411.48,1626098889.857,1626098889.963,6.687772000000008,66.87772
1626098890,4010eb,52.439699334613344,-0.93548583984375,152.50119487386038,324.05788812861766,0.0,EZY9007 ,False,False,False,6307.0,5486.400000000001,5600.700000000001,1626098889.561,1626098889.998,-89.51325600000001,123.46656
1626098890,344695,53.37075805664063,-2.2397199358258604,70.30023610547596,231.53663364879708,-3.90144,VLG74SD ,False,False,False,5511.0,190.5,236.22,1626098889.661,1626098889.961,-55.04550800000001,-43.72774
1626098890,3e3078,51.879024182335804,-0.3389739990234375,90.96353362714666,76.59249156293683,10.40384,ECA28C  ,False,False,False,2052.0,419.1,464.8200000000001,1626098889.692,1626098889.951,88.484368,21.092203999999988
1626098890,405200,50.06027480303231,-1.8739854967271867,142.5093451484441,18.304136768217287,-3.5763200000000004,GMA344  ,False,False,False,1225.0,4693.92,4762.5,1626098889.836,1626098889.947,44.756628,135.298772
1626098890,43c8e3,52.72850941803495,-3.087158203125,54.53349056865177,179.45948981286935,1.6256000000000002,AFGHAN1 ,False,False,False,7420.0,190.5,236.22,1626098801.9,1626098801.9,0.5144439999999928,-54.53106399999999
1626098890,40774f,50.77409362792969,-0.8237519135346361,29.54360118351397,262.9987324425046,-8.45312,GSHAZ   ,False,False,False,7000.0,434.34,472.44000000000005,1626098860.603,1626098866.064,-29.323308,-3.601108000000023
1626098890,43c8e5,52.82743835449219,-2.7799224853515625,42.8009988070301,13.201087175705576,-1.30048,SYS10   ,False,False,False,7421.0,121.92,182.88,1626098875.954,1626098875.954,9.774435999999998,41.669964
1626098890,40658e,52.18011474609375,-1.5016937255859375,46.37135550886991,56.309932474020215,-0.32512,GOBZR   ,False,False,False,406.0,556.26,510.54,1626098889.539,1626098889.641,38.5833,25.7222
1626098890,4ca73b,50.36877648305085,-0.1691003747888544,222.94663988479297,164.19988627142072,0.32512,RYR3NC  ,False,False,False,6305.0,11887.2,12131.04,1626098889.79,1626098889.965,60.70439200000009,-214.523148
1626098890,43e8b1,53.39360046386719,-3.936479840959805,245.9413595695531,93.83799125679712,0.0,MCELT   ,False,False,False,5013.0,10058.4,10233.66,1626098889.99,1626098889.99,245.389788,-16.46220800000004
1626098900,4ca73b,50.35010903568591,-0.1607863967483354,222.94663988479297,164.19988627142072,0.0,RYR3NC  ,False,False,False,6305.0,11887.2,12131.04,1626098899.506,1626098899.989,60.70439200000009,-214.523148
1626098900,3e3078,51.88097937632415,-0.3260040283203125,96.82623294925192,76.48058588587062,12.67968,ECA28C  ,False,False,False,2052.0,548.64,601.98,1626098899.601,1626098899.988,94.143252,22.635535999999984
1626098900,4079b4,52.77934446173199,-1.0931396484375,67.2112767824149,5.710593137499643,-0.65024,GRIDC   ,False,False,False,36.0,358.14000000000004,411.48,1626098899.961,1626098899.961,6.687772000000008,66.87772
